ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-11,-802.906066578651,246.81055515711776,247.99992019872707,-803.4720997235343,-802.282734683126,1050.2826548915928,1050.2826548915928,1050.2826548915928,-1.254896269599169,-1.254896269599169,-1.254896269599169,1051.5375511611921,1051.5375511611921,1051.5375511611921,0.0,0.0,0.0,247.37658831294175
2023-01-12,-874.2115219553456,323.9572691914873,327.8044031385362,-876.0787059429642,-872.2315720082088,1200.0359751384249,1200.0359751384249,1200.0359751384249,10.883142000066037,10.883142000066037,10.883142000066037,1189.1528331383588,1189.1528331383588,1189.1528331383588,0.0,0.0,0.0,325.8244531830793
2023-01-13,-945.5169773320401,392.7764458758725,399.8746277522422,-948.8150309120235,-941.7168490335649,1341.5914767836318,1341.5914767836318,1341.5914767836318,-6.483808112367673,-6.483808112367673,-6.483808112367673,1348.0752848959994,1348.0752848959994,1348.0752848959994,0.0,0.0,0.0,396.0744994515917
2023-01-14,-1016.8224327087348,530.9414420432093,541.9797598120679,-1021.9968414619868,-1010.9585237034859,1552.9382835084748,1552.9382835084748,1552.9382835084748,23.136724738162062,23.136724738162062,23.136724738162062,1529.8015587703126,1529.8015587703126,1529.8015587703126,0.0,0.0,0.0,536.11585079974
2023-01-15,-1088.1278880854293,640.8205908034099,656.1819937190972,-1095.4675072738348,-1080.1061043781992,1736.2880980871773,1736.2880980871773,1736.2880980871773,1.1642015060306545,1.1642015060306545,1.1642015060306545,1735.1238965811467,1735.1238965811467,1735.1238965811467,0.0,0.0,0.0,648.160210001748
2023-01-16,-1159.433343462124,789.4216391768452,809.233377603342,-1168.7124237748174,-1148.900685338015,1958.1340629467402,1958.1340629467402,1958.1340629467402,-5.932944845330951,-5.932944845330951,-5.932944845330951,1964.0670077920709,1964.0670077920709,1964.0670077920709,0.0,0.0,0.0,798.7007194846162
2023-01-17,-1230.7387988388184,952.0388129785257,976.9717156851278,-1242.2946450368047,-1217.361742327636,2194.3334579990506,2194.3334579990506,2194.3334579990506,-21.512419016831423,-21.512419016831423,-21.512419016831423,2215.845877015882,2215.845877015882,2215.845877015882,0.0,0.0,0.0,963.5946591602321
2023-01-18,-1302.044254215513,1171.5259257274531,1201.8737235017863,-1316.0654922144952,-1285.7176944410382,2487.5914179413635,2487.5914179413635,2487.5914179413635,-1.2548962696041568,-1.2548962696041568,-1.2548962696041568,2488.8463142109676,2488.8463142109676,2488.8463142109676,0.0,0.0,0.0,1185.5471637258504
2023-01-19,-1373.3497095922078,1401.3925720876537,1437.0982792888012,-1390.1199920118445,-1354.4142848010686,2791.5125640949673,2791.5125640949673,2791.5125640949673,10.883142000014148,10.883142000014148,10.883142000014148,2780.629422094953,2780.629422094953,2780.629422094953,0.0,0.0,0.0,1418.1628545027595
2023-01-20,-1444.6551649689025,1616.892731151752,1659.1386954504558,-1464.583931417744,-1422.3379671167183,3081.476662564728,3081.476662564728,3081.476662564728,-6.483808112373437,-6.483808112373437,-6.483808112373437,3087.9604706771015,3087.9604706771015,3087.9604706771015,0.0,0.0,0.0,1636.8214975958256
2023-01-21,-1515.9606203455971,1890.7376931644048,1939.4863844997649,-1539.2609896240563,-1490.5122982775506,3429.9986827809453,3429.9986827809453,3429.9986827809453,23.136724738178366,23.136724738178366,23.136724738178366,3406.861958042767,3406.861958042767,3406.861958042767,0.0,0.0,0.0,1914.0380624353481
2023-01-22,-1587.2660757222918,2119.6727635844923,2175.6220560648926,-1614.1813583126593,-1558.2320658296087,3733.854121886389,3733.854121886389,3733.854121886389,1.1642015060239586,1.1642015060239586,1.1642015060239586,3732.689920380365,3732.689920380365,3732.689920380365,0.0,0.0,0.0,2146.5880461640972
2023-01-23,-1658.5715310989865,2365.3917200068076,2428.445393845328,-1688.9071889800055,-1625.8535151613448,4054.2989090012024,4054.2989090012024,4054.2989090012024,-5.932944845413605,-5.932944845413605,-5.932944845413605,4060.231853846616,4060.231853846616,4060.231853846616,0.0,0.0,0.0,2395.727377902216
2023-01-24,-1729.8769864756807,2598.764472368839,2669.5721105197144,-1763.5470557818087,-1692.73941762843,4362.311528143465,4362.311528143465,4362.311528143465,-21.512419016877807,-21.512419016877807,-21.512419016877807,4383.823947160342,4383.823947160342,4383.823947160342,0.0,0.0,0.0,2632.4345416677843
2023-01-25,-1801.1824418523754,2858.207730764969,2936.562932623714,-1838.022089900042,-1759.666888044098,4696.229820671328,4696.229820671328,4696.229820671328,-1.2548962695344974,-1.2548962695344974,-1.2548962695344974,4697.484716940861,4697.484716940861,4697.484716940861,0.0,0.0,0.0,2895.047378818952
2023-01-26,-1872.48789722907,3092.944554005662,3179.104880556408,-1913.0001943123607,-1826.8398677753996,5005.944748318404,5005.944748318404,5005.944748318404,10.88314200002516,10.88314200002516,10.88314200002516,4995.061606318379,4995.061606318379,4995.061606318379,0.0,0.0,0.0,3133.456851089334
2023-01-27,-1943.7933526057648,3275.09812710682,3369.758279790229,-1988.8047327760682,-1894.1445801003922,5263.902859887242,5263.902859887242,5263.902859887242,-6.48380811235727,-6.48380811235727,-6.48380811235727,5270.386667999599,5270.386667999599,5270.386667999599,0.0,0.0,0.0,3320.109507281477
2023-01-28,-2015.098807982459,3476.1389196617542,3579.65159153493,-2064.434924925252,-1960.922253040996,5540.573844575647,5540.573844575647,5540.573844575647,23.13672473813738,23.13672473813738,23.13672473813738,5517.437119837509,5517.437119837509,5517.437119837509,0.0,0.0,0.0,3525.4750365931877
2023-01-29,-2086.404263359154,3591.66957506719,3704.3653607378133,-2139.990971637402,-2027.2951859773707,5731.660546710988,5731.660546710988,5731.660546710988,1.1642015060172652,1.1642015060172652,1.1642015060172652,5730.496345204971,5730.496345204971,5730.496345204971,0.0,0.0,0.0,3645.2562833518336
2023-01-30,-2157.7097187358486,3682.1918877897006,3804.3029393682245,-2216.1859873075896,-2094.074935733385,5898.3778751056625,5898.3778751056625,5898.3778751056625,-5.932944845387489,-5.932944845387489,-5.932944845387489,5904.31081995105,5904.31081995105,5904.31081995105,0.0,0.0,0.0,3740.668156369814
2023-01-31,-2229.015174112543,3720.9134422406464,3853.3757997260127,-2291.8126254745516,-2159.350267990378,6012.726067711833,6012.726067711833,6012.726067711833,-21.51241901685258,-21.51241901685258,-21.51241901685258,6034.2384867286855,6034.2384867286855,6034.2384867286855,0.0,0.0,0.0,3783.71089359929
2023-02-01,-2300.3206294892375,3747.670015977968,3889.7035109499884,-2367.45935420965,-2225.425859230554,6115.129370188602,6115.129370188602,6115.129370188602,-1.2548962696056014,-1.2548962696056014,-1.2548962696056014,6116.384266458207,6116.384266458207,6116.384266458207,0.0,0.0,0.0,3814.808740699364
2023-02-02,-2371.626084865932,3715.2689169974647,3867.2236820549733,-2443.3329173838506,-2291.378152332996,6158.601834389027,6158.601834389027,6158.601834389027,10.883142000036173,10.883142000036173,10.883142000036173,6147.718692388991,6147.718692388991,6147.718692388991,0.0,0.0,0.0,3786.975749523095
2023-02-03,-2442.931540242627,3600.44417845246,3761.986251054387,-2519.2480811101364,-2357.706008501994,6119.692259561962,6119.692259561962,6119.692259561962,-6.483808112401734,-6.483808112401734,-6.483808112401734,6126.176067674363,6126.176067674363,6126.176067674363,0.0,0.0,0.0,3676.760719319335
2023-02-04,-2514.2369956193215,3476.7300107508468,3651.10578115636,-2597.135785837574,-2422.7600154322213,6073.8657965871225,6073.8657965871225,6073.8657965871225,23.136724738153685,23.136724738153685,23.136724738153685,6050.7290718489685,6050.7290718489685,6050.7290718489685,0.0,0.0,0.0,3559.628800967801
2023-02-05,-2585.542450996016,3249.6898162597286,3434.483700571931,-2672.9117466020143,-2488.1178622948414,5922.60156286941,5922.60156286941,5922.60156286941,1.1642015059841753,1.1642015059841753,1.1642015059841753,5921.437361363427,5921.437361363427,5921.437361363427,0.0,0.0,0.0,3337.059111873394
2023-02-06,-2656.847906372711,2984.987242587468,3179.423250574114,-2748.5482200252304,-2554.1122120480527,5733.535462617548,5733.535462617548,5733.535462617548,-5.932944845415754,-5.932944845415754,-5.932944845415754,5739.468407462963,5739.468407462963,5739.468407462963,0.0,0.0,0.0,3076.6875562448367
2023-02-07,-2728.153361749405,2659.1453914195367,2865.3853465007696,-2826.4317615750388,-2620.1918065000236,5485.57715300534,5485.57715300534,5485.57715300534,-21.512419016948115,-21.512419016948115,-21.512419016948115,5507.089572022288,5507.089572022288,5507.089572022288,0.0,0.0,0.0,2757.4237912559347
2023-02-08,-2799.4588171261,2323.259822394631,2541.407298652472,-2903.1164985579144,-2684.9690222929057,5226.376320947088,5226.376320947088,5226.376320947088,-1.2548962695359422,-1.2548962695359422,-1.2548962695359422,5227.6312172166245,5227.6312172166245,5227.6312172166245,0.0,0.0,0.0,2426.9175038209883
2023-02-09,-2870.7642725027945,1936.5434568339017,2165.091828130261,-2979.761140882417,-2751.2127695883873,4916.304597719392,4916.304597719392,4916.304597719392,10.883142000047185,10.883142000047185,10.883142000047185,4905.421455719345,4905.421455719345,4905.421455719345,0.0,0.0,0.0,2045.540325216598
